,index,color_name,hex_string,colour_group,colour_group_type,source,hue,saturation,brightness,temperature
712,712,Light Pink,ffb6c1,Red,Primary,Eggradients,351,28.6,100,Warm
713,713,Cotton Candy,ffbcd9,Rose,Tertiary,Sewguide,334,26.3,100,Warm
714,714,Brilliant Orange Yellow,ffbe50,Orange,Secondary,ISCC-NBC System,37.7,68.6,100,Warm
715,715,Amber,ffbf00,Orange,Secondary,Sewguide,44.9,100,100,Warm
716,716,Topaz,ffc87c,Orange,Secondary,Sewguide,34.8,51.4,100,Warm
717,717,Pastel Pink,ffd1dc,Rose,Tertiary,Eggradients,346,18,100,Warm
718,718,Caramel,ffd59a,Orange,Secondary,Sewguide,35,39.6,100,Warm
719,719,Sweet Pea Pink,ffd9d9,Red,Primary,Sewguide,0,14.9,100,Warm
720,720,Myrtle Green,ffdb58,Yellow,Primary,Sewguide,47.1,65.5,100,Warm
721,721,Navajo White,ffdead,Orange,Secondary,Eggradients,35.9,32.2,100,Warm
722,722,Golden Yellow,ffdf00,Yellow,Primary,Eggradients,52.5,100,100,Warm
723,723,Peach,ffe5b4,Orange,Secondary,Eggradients,39.2,29.4,100,Warm
724,724,Peach,ffe5b4,Orange,Secondary,Eggradients,39.2,29.4,100,Warm
725,725,Flesh Pink,ffe9d1,Orange,Secondary,Sewguide,31.3,18,100,Warm
726,726,Canary Yellow,ffef00,Yellow,Primary,Sewguide,56.2,100,100,Warm
727,727,Canary Yellow,ffef00,Yellow,Primary,Eggradients,56.2,100,100,Warm
728,728,Lavender Blush,fff0f5,Rose,Tertiary,Eggradients,340,5.88,100,Warm
729,729,Lemon Yellow,fff44f,Yellow,Primary,Sewguide,56.2,69,100,Warm
730,730,Lemon Yellow,fff44f,Yellow,Primary,Eggradients,56.2,69,100,Warm
731,731,Lemon,fff44f,Yellow,Primary,Eggradients,56.2,69,100,Warm
732,732,Seashell,fff5ee,Orange,Secondary,Eggradients,24.7,6.67,100,Warm
733,733,Chiffon,fffacd,Yellow,Primary,Eggradients,54,19.6,100,Warm
734,734,Snow White,fffafa,Red,Primary,Eggradients,0,1.96,100,Warm
735,735,Yellow,ffff00,Yellow,Primary,Sewguide,60,100,100,Warm
736,736,Daffodil,ffff31,Yellow,Primary,Sewguide,60,80.8,100,Warm
737,737,Light Yellow,ffffe0,Yellow,Primary,Eggradients,60,12.2,100,Warm
738,738,Ivory,fffff0,Yellow,Primary,Eggradients,60,5.88,100,Warm
